sub,task,run,cens1mm,frame1,frame2,frame3,frame4,frame5,frame6,frame7,frame8,frame9,frame10,frame11,frame12,frame13,frame14,frame15,frame16,frame17,frame18,frame19,frame20,frame21,frame22,frame23,frame24,frame25,frame26,frame27,frame28,frame29,frame30,frame31,frame32,frame33,frame34,frame35,frame36,frame37,frame38,frame39,frame40,frame41,frame42,frame43,frame44,frame45,frame46,frame47,frame48,frame49,frame50,frame51,frame52,frame53,frame54,frame55,frame56,frame57,frame58,frame59,frame60,frame61,frame62,frame63,frame64,frame65,frame66,frame67,frame68,frame69,frame70,frame71,frame72,frame73,frame74,frame75,frame76,frame77,frame78,frame79,frame80,frame81,frame82,frame83,frame84,frame85,frame86,frame87,frame88,frame89,frame90,frame91,frame92,frame93,frame94,frame95,frame96,frame97,frame98,frame99,frame100,frame101,frame102,frame103,frame104,frame105,frame106,frame107,frame108,frame109,frame110,frame111,frame112,frame113,frame114,frame115,frame116
sub-kLat004,task-ADDT,run-1,0,NA,0.041,0.0886,0.0448,0.0731,0.1051,0.1515,0.0737,0.1391,0.115,0.0804,0.0623,0.0934,0.0827,0.0903,0.0635,0.0144,0.0693,0.1195,0.1374,0.0654,0.0424,0.0633,0.1181,0.0659,0.0386,0.1233,0.1891,0.1484,0.1165,0.1569,0.009,0.1589,0.1416,0.0779,0.0794,0.0662,0.0883,0.0802,0.0852,0.1062,0.0421,0.0737,0.0809,0.1174,0.0864,0.1176,0.1087,0.0555,0.0882,0.035,0.062,0.3127,0.0866,0.0816,0.1211,0.0603,0.104,0.1293,0.1488,0.1604,0.1206,0.1273,0.0782,0.069,0.0575,0.0903,0.1112,0.0373,0.0885,0.1072,0.0437,0.0759,0.1109,0.1295,0.1345,0.0808,0.1503,0.1037,0.1279,0.0415,0.0859,0.0626,0.0566,0.0757,0.0793,0.0582,0.0768,0.0415,0.1182,0.1345,0.0664,0.0606,0.0671,0.0707,0.1044,0.0413,0.0586,0.0828,0.4394,0.2221,0.125,0.0849,0.0447,0.0526,0.0631,0.0752,0.1717,0.0868,0.0886,0.1119,0.0766,0.1541,0.1295,0.1045,0.0851
sub-kLat004,task-ADDT,run-2,0,NA,0.0563,0.1223,0.0528,0.0706,0.0492,0.0498,0.0639,0.0692,0.0868,0.1214,0.1345,0.0613,0.0851,0.1084,0.1462,0.1578,0.135,0.0753,0.0604,0.0849,0.0775,0.0997,0.1198,0.0589,0.1099,0.0972,0.0351,0.0674,0.084,0.099,0.0693,0.0921,0.0633,0.104,0.0803,0.0589,0.0784,0.1719,0.1965,0.232,0.0872,0.0905,0.0564,0.0338,0.0163,0.0223,0.0416,0.1085,0.1583,0.1607,0.1263,0.1204,0.2302,0.2404,0.2098,0.1305,0.4143,0.2149,0.1467,0.0932,0.0472,0.1095,0.1393,0.06,0.0953,0.0807,0.0391,0.0292,0.1035,0.1376,0.1506,0.0704,0.0569,0.0775,0.0698,0.0626,0.0741,0.0701,0.112,0.0893,0.1348,0.1098,0.1091,0.0804,0.0979,0.1141,0.1363,0.1126,0.0737,0.1247,0.0899,0.0467,0.0657,0.0672,0.0858,0.0526,0.0582,0.136,0.2091,0.2035,0.086,0.0582,0.1153,0.0664,0.0724,0.0825,0.063,0.0308,0.0718,0.0954,0.0673,0.0973,0.05,0.0825,0.0661
sub-kLat006,task-ADDT,run-1,0,NA,0.0416,0.0659,0.0805,0.0499,0.0846,0.1024,0.0665,0.0591,0.0635,0.0493,0.0354,0.0268,0.2778,0.0908,0.0842,0.0763,0.05,0.0504,0.0791,0.2814,0.5151,0.2545,0.1169,0.0426,0.144,0.1331,0.0645,0.0675,0.07,0.0691,0.1072,0.3433,0.0859,0.109,0.0817,0.1216,0.0315,0.0423,0.06,0.071,0.1536,0.1499,0.0533,0.0811,0.0711,0.0805,0.0754,0.0837,0.0767,0.1207,0.0858,0.1354,0.1066,0.0742,0.1088,0.1029,0.0317,0.0593,0.0735,0.0944,0.3493,0.0884,0.0485,0.176,0.0745,0.0664,0.079,0.0569,0.0583,0.0505,0.1057,0.0783,0.1208,0.0739,0.1282,0.0803,0.1252,0.124,0.5154,0.1039,0.0844,0.066,0.0778,0.0658,0.0281,0.062,0.039,0.0756,0.0534,0.0421,0.0777,0.1343,0.1314,0.0804,0.0718,0.0366,0.0972,0.0679,0.0991,0.0997,0.0653,0.0847,0.124,0.0907,0.1298,0.4671,0.1419,0.0402,0.0716,0.0563,0.1114,0.1067,0.0547,0.0443,0.0409
sub-kLat008,task-ADDT,run-1,0,NA,0.3339,0.5089,0.2749,0.4392,0.1838,0.093,0.3043,0.1954,0.1487,0.1772,0.1425,0.1628,0.2134,0.2578,0.2919,0.2608,0.1591,0.1426,0.0951,0.1151,0.072,0.0348,0.1252,0.1668,0.2373,0.1544,0.1117,0.0661,0.0385,0.1437,0.0671,0.0505,0.0927,0.1298,0.0889,0.0746,0.0816,0.0484,0.085,0.1988,0.3937,0.2146,0.2302,0.4911,0.1309,0.1195,0.1068,0.1259,0.1322,0.0982,0.1833,0.4588,0.1198,0.0705,0.0841,0.1854,0.1335,0.1107,0.0773,0.1111,0.3328,0.0385,0.1329,0.1291,0.068,0.0687,0.0577,0.0451,0.129,0.1409,0.0645,0.1286,0.1035,0.34,0.2888,0.2624,0.229,0.1434,0.1242,0.0606,0.1899,0.0948,0.0454,0.0748,0.1361,0.0763,0.1013,0.0685,0.129,0.1031,0.1124,0.1338,0.0865,0.1767,0.0688,0.4246,0.1379,0.1516,0.0835,0.1053,0.0709,0.1015,0.0928,0.1375,0.0715,0.0783,0.0703,0.0776,0.0737,0.0963,0.1116,0.3482,0.1027,0.1549,0.2499
sub-kLat008,task-ADDT,run-2,0,NA,0.0947,0.138,0.1047,0.1389,0.121,0.0468,0.0516,0.1514,0.2277,0.1441,0.1076,0.2187,0.2284,0.1721,0.1051,0.1436,0.1376,0.0606,0.0844,0.2042,0.3726,0.4354,0.268,0.124,0.0822,0.166,0.0712,0.1109,0.1595,0.3495,0.0702,0.2181,0.2451,0.0802,0.0954,0.1292,0.0769,0.1474,0.1288,0.0761,0.1788,0.1815,0.0999,0.0899,0.1152,0.1151,0.0972,0.079,0.093,0.2167,0.1661,0.086,0.3032,0.3406,0.2294,0.1878,0.1043,0.1342,0.1744,0.1396,0.0619,0.0132,0.0317,0.1045,0.1866,0.1263,0.0656,0.1996,0.2501,0.3761,0.2908,0.3138,0.1883,0.9117,0.0854,0.0754,0.0579,0.0412,0.3273,0.6007,0.1167,0.3406,0.118,0.1042,0.1084,0.1823,0.1732,0.3263,0.5824,0.2209,0.5203,0.3239,0.2674,0.5805,0.5432,0.2209,0.084,0.2475,0.3459,0.2723,0.2425,0.1455,0.1439,0.0987,0.0951,0.0494,0.1025,0.1199,0.0687,0.0739,0.0944,0.122,0.4219,0.038,0.1731
sub-kLat015,task-ADDT,run-1,0,NA,0.0521,0.0808,0.0815,0.1447,0.1424,0.329,0.5755,0.4216,0.7489,0.519,0.1007,0.2097,0.1402,0.1099,0.1766,0.0446,0.1028,0.1047,0.2512,0.1856,0.2701,0.1708,0.1064,0.2337,0.3301,0.4072,0.9285,0.2509,0.3484,0.1682,0.0956,0.21,0.1266,0.1738,0.3214,0.2262,0.1467,0.1148,0.1275,0.3055,0.1802,0.1502,0.1386,0.1437,0.233,0.1601,0.3803,0.2971,0.2005,0.158,0.1167,0.1273,0.1629,0.1384,0.044,0.0548,0.0422,0.1184,0.0877,0.0952,0.0929,0.0452,0.364,0.9342,0.535,0.1691,0.6877,0.6001,0.098,0.1971,0.166,0.1848,0.1199,0.0911,0.1215,0.0559,0.1138,0.0899,0.1282,0.1639,0.1526,0.1598,0.1088,0.1126,0.1198,0.0783,0.1052,0.1765,0.1925,0.1153,0.1913,0.1896,0.1667,0.0895,0.1595,0.2223,0.1228,0.2092,0.3931,0.1789,0.1029,0.1413,0.1045,0.0694,0.1528,0.0842,0.0422,0.0858,0.0862,0.1163,0.0757,0.1367,0.0958,0.0613,0.1225
sub-kLat023,task-ADDT,run-1,0,NA,0.0452,0.1755,0.0748,0.365,0.1123,0.0908,0.3656,0.2179,0.1256,0.1218,0.3022,0.3028,0.205,0.0853,0.0895,0.0403,0.1218,0.1199,0.2035,0.2558,0.1672,0.3225,0.2326,0.1943,0.1931,0.4863,0.0523,0.1037,0.2185,0.529,0.462,0.2342,0.1309,0.1164,0.0862,0.1442,0.4908,0.0905,0.0194,0.0697,0.0834,0.0481,0.1565,0.1109,0.1441,0.0985,0.3004,0.4053,0.1411,0.2228,0.2322,0.1314,0.178,0.1443,0.2213,0.1465,0.4236,0.121,0.0354,0.1294,0.1303,0.5238,0.4294,0.0939,0.1206,0.0568,0.0675,0.1128,0.0939,0.1102,0.5269,0.3259,0.1363,0.1101,0.1214,0.1796,0.1011,0.2004,0.1425,0.0729,0.0764,0.1186,0.1279,0.1246,0.091,0.0789,0.2112,0.2059,0.2054,0.2163,0.3167,0.707,0.2021,0.0873,0.3079,0.2048,0.1052,0.3352,0.6252,0.2248,0.1284,0.1739,0.2129,0.1737,0.1765,0.1622,0.1851,0.5502,0.2443,0.0937,0.1303,0.1119,0.0647,0.1051,0.1105
sub-kLat023,task-ADDT,run-2,0,NA,0.0258,0.1235,0.2109,0.1182,0.0856,0.108,0.0619,0.1206,0.0954,0.1325,0.2289,0.4421,0.1522,0.2144,0.1494,0.1286,0.0982,0.0394,0.0266,0.2291,0.28,0.1144,0.1382,0.1171,0.3568,0.3121,0.498,0.0677,0.0747,0.2679,0.2605,0.2858,0.1894,0.1049,0.1935,0.3218,0.4581,0.8513,0.6695,0.3903,0.3883,0.1007,0.1218,0.1446,0.099,0.0651,0.111,0.1329,0.07,0.0954,0.3065,0.4603,0.1535,0.0725,0.2964,0.4626,0.2126,0.1328,0.1389,0.3295,0.257,0.1463,0.0749,0.198,0.1856,0.1873,0.1853,0.0822,0.0642,0.0726,0.1791,0.1627,0.3492,0.1391,0.0606,0.0394,0.1813,0.421,0.209,0.2689,0.1496,0.1184,0.1294,0.0567,0.0431,0.1945,0.1153,0.0885,0.0787,0.1448,0.0845,0.0456,0.0951,0.1207,0.2293,0.4448,0.2709,0.2297,0.22,0.119,0.0708,0.1256,0.3861,0.1757,0.2481,0.1792,0.145,0.0899,0.1193,0.1144,0.197,0.2432,0.1869,0.1574,0.0787
sub-kLat024,task-ADDT,run-1,0,NA,0.0572,0.0801,0.1019,0.0564,0.0639,0.078,0.1596,0.1011,0.0621,0.0849,0.0585,0.0739,0.0578,0.1886,0.2281,0.14,0.0766,0.0507,0.0828,0.1679,0.0914,0.0699,0.064,0.1286,0.4668,0.2171,0.1348,0.1505,0.1435,0.1135,0.0812,0.0799,0.0665,0.2177,0.2283,0.1824,0.1374,0.0819,0.0497,0.0448,0.0877,0.0677,0.0906,0.0515,0.0551,0.0487,0.0479,0.0434,0.1283,0.0465,0.0605,0.0298,0.0407,0.0464,0.0199,0.0462,0.1016,0.2175,0.2059,0.1202,0.048,0.0751,0.0404,0.0335,0.0434,0.0427,0.0474,0.3286,0.0801,0.0571,0.0568,0.0659,0.0653,0.0372,0.069,0.1241,0.1793,0.1946,0.0817,0.0704,0.0783,0.0235,0.1974,0.5458,0.4067,0.0795,0.0621,0.0235,0.0415,0.3435,0.363,0.2749,0.1619,0.301,0.2988,0.1332,0.0663,0.0318,0.0577,0.0751,0.132,0.1391,0.2433,0.1591,0.0656,0.0308,0.047,0.0968,0.4329,0.1646,0.0955,0.034,0.0305,0.0659,0.2193
sub-kLat024,task-ADDT,run-2,0,NA,0.0776,0.0298,0.0538,0.0473,0.0705,0.0816,0.0786,0.0779,0.0602,0.0822,0.0862,0.2038,0.2901,0.2817,0.2143,0.1174,0.1402,0.0248,0.0673,0.0658,0.0983,0.093,0.0515,0.0609,0.0747,0.0577,0.0631,0.0701,0.0719,0.0631,0.1661,0.1529,0.1113,0.0933,0.1146,0.1885,0.1489,0.0789,0.0871,0.0649,0.0285,0.0497,0.1709,0.2512,0.211,0.117,0.0721,0.1126,0.0954,0.0899,0.054,0.1042,0.128,0.087,0.057,0.0478,0.0608,0.0573,0.0705,0.1164,0.0869,0.1129,0.1561,0.0886,0.0943,0.173,0.2332,0.1809,0.1982,0.618,0.1354,0.1122,0.1126,0.1315,0.0535,0.0418,0.2346,0.6915,0.5655,0.1503,0.1039,0.0681,0.109,0.098,0.1163,0.105,0.1003,0.0359,0.0668,0.1226,0.2429,0.2547,0.1918,0.0987,0.0969,0.2643,0.2906,0.1909,0.1269,0.2457,0.1808,0.1163,0.0882,0.0817,0.0659,0.0701,0.0534,0.0522,0.0624,0.0555,0.0618,0.0314,0.0562,0.1279,0.2241
