sub,task,run,cens1mm,frame1,frame2,frame3,frame4,frame5,frame6,frame7,frame8,frame9,frame10,frame11,frame12,frame13,frame14,frame15,frame16,frame17,frame18,frame19,frame20,frame21,frame22,frame23,frame24,frame25,frame26,frame27,frame28,frame29,frame30,frame31,frame32,frame33,frame34,frame35,frame36,frame37,frame38,frame39,frame40,frame41,frame42,frame43,frame44,frame45,frame46,frame47,frame48,frame49,frame50,frame51,frame52,frame53,frame54,frame55,frame56,frame57,frame58,frame59,frame60
sub-kLat002,task-sline,run-1,0,NA,0.1944,0.4508,0.362,0.2478,0.2289,0.3606,0.1871,0.403,0.6117,0.3079,0.3907,0.1805,0.1536,0.1928,0.1857,0.1461,0.2024,0.3569,0.2505,0.4027,0.2521,0.1389,0.0412,0.1451,0.1032,0.095,0.0906,0.0986,0.3932,0.2781,0.8415,0.8248,0.554,0.4936,0.5833,0.4605,0.4094,0.215,0.2506,0.3314,0.4258,0.2868,0.3962,0.6745,0.4258,0.4913,0.3248,0.1162,0.175,0.1277,0.0684,0.1459,0.4405,0.1901,0.0639,0.1158,0.2966,0.3709,0.8212
sub-kLat002,task-sline,run-2,0,NA,0.2783,0.3589,0.8525,0.5327,0.4013,0.2948,0.1789,0.1232,0.0313,0.2646,0.9147,0.6468,0.0277,0.1197,0.2603,0.2272,0.4387,0.1223,0.3342,0.6631,0.217,0.1012,0.5672,0.1607,0.0854,0.0807,0.0864,0.1436,0.2581,0.4212,0.9873,0.3772,0.21,0.1005,0.1193,0.1574,0.5247,0.2272,0.1642,0.1298,0.0603,0.0567,0.3144,0.2529,0.2811,0.3307,0.4713,0.5372,0.312,0.1625,0.025,0.1229,0.0984,0.4775,0.1686,0.123,0.4614,0.4595,0.8309
sub-kLat004,task-sline,run-1,0,NA,0.0275,0.0027,0.0723,0.0878,0.3057,0.2089,0.1575,0.103,0.1102,0.1019,0.0957,0.4007,0.0346,0.045,0.1537,0.1551,0.4493,0.0639,0.0749,0.0716,0.0634,0.0973,0.0744,0.045,0.0415,0.0565,0.064,0.014,0.0979,0.0961,0.1118,0.1085,0.0372,0.0534,0.0385,0.0115,0.0693,0.0697,0.0269,0.0882,0.0643,0.0377,0.1104,0.1402,0.1835,0.2207,0.1514,0.0849,0.0745,0.0373,0.0832,0.0505,0.0595,0.0387,0.0515,0.0565,0.0902,0.1137,0.0444
sub-kLat004,task-sline,run-2,0,NA,0.0836,0.0884,0.0725,0.0137,0.0236,0.032,0.0516,0.0333,0.0675,0.063,0.1126,0.0748,0.023,0.1473,0.1813,0.1419,0.1629,0.6033,0.0747,0.0615,0.0947,0.3119,0.0296,0.0498,0.053,0.038,0.0334,0.0396,0.0534,0.0513,0.0394,0.1313,0.4743,0.7179,0.1601,0.131,0.0677,0.0448,0.029,0.0555,0.0522,0.1157,0.1379,0.4879,0.1154,0.0642,0.1129,0.0883,0.0918,0.0501,0.0628,0.059,0.0599,0.0354,0.0351,0.031,0.0516,0.0824,0.0497
sub-kLat004,task-sline,run-3,0,NA,0.0897,0.0498,0.0522,0.0566,0.0611,0.0773,0.1166,0.11,0.0489,0.0484,0.0317,0.0616,0.0638,0.0196,0.0674,0.157,0.1052,0.0569,0.0605,0.0999,0.0967,0.1261,0.0688,0.0602,0.0646,0.0514,0.0887,0.0853,0.1191,0.1811,0.0996,0.0583,0.1092,0.171,0.2446,0.1483,0.0305,0.0586,0.0305,0.0433,0.0444,0.0317,0.1022,0.2569,0.2219,0.1199,0.0797,0.0758,0.0534,0.0293,0.0607,0.0485,0.0397,0.0491,0.0857,0.076,0.1344,0.0478,0.1435
sub-kLat004,task-sline,run-4,0,NA,0.0834,0.1145,0.1198,0.0785,0.0753,0.067,0.1212,0.0598,0.1153,0.0791,0.2105,0.0566,0.0836,0.0734,0.0459,0.1646,0.1461,0.0397,0.0763,0.0528,0.0222,0.0515,0.0662,0.0796,0.0424,0.0633,0.0515,0.0418,0.0661,0.0387,0.0321,0.1585,0.5385,0.6702,0.154,0.3642,0.0601,0.0603,0.0686,0.0583,0.0204,0.0425,0.091,0.0538,0.0485,0.0982,0.1084,0.0564,0.0773,0.0456,0.1149,0.042,0.0516,0.0738,0.0616,0.046,0.0972,0.0815,0.0339
sub-kLat006,task-sline,run-2,0,NA,0.0614,0.066,0.1761,0.1452,0.0773,0.0801,0.0794,0.0686,0.227,0.0496,0.0476,0.1483,0.4526,0.471,0.1529,0.1356,0.1529,0.1028,0.1368,0.0885,0.1271,0.0748,0.0617,0.0624,0.0693,0.0364,0.0536,0.0441,0.0153,0.0446,0.0331,0.0614,0.0768,0.0887,0.0373,0.1147,0.0932,0.0457,0.0469,0.0663,0.2071,0.2819,0.1542,0.0823,0.1119,0.0622,0.0398,0.0467,0.1098,0.1472,0.0747,0.0369,0.0709,0.0575,0.0649,0.1167,0.1791,0.1777,0.0903
sub-kLat006,task-sline,run-3,0,NA,0.0956,0.0689,0.0432,0.0431,0.0657,0.0281,0.0886,0.1101,0.0785,0.0822,0.1323,0.1172,0.1168,0.1397,0.1522,0.0909,0.1521,0.1746,0.1245,0.0979,0.1094,0.134,0.0892,0.0585,0.0577,0.0586,0.0936,0.0784,0.0979,0.0785,0.1073,0.1188,0.0334,0.0833,0.1027,0.0632,0.082,0.0766,0.095,0.0493,0.0622,0.0647,0.0602,0.0423,0.143,0.1457,0.1811,0.1992,0.1159,0.1037,0.126,0.1352,0.0594,0.1381,0.0355,0.1321,0.1086,0.1201,0.0821
sub-kLat006,task-sline,run-4,0,NA,0.0735,0.1402,0.0345,0.1186,0.0903,0.0787,0.2483,0.2412,0.2072,0.13,0.0565,0.0501,0.083,0.0536,0.1235,0.1354,0.1468,0.0659,0.0788,0.1131,0.0824,0.0964,0.0814,0.0967,0.0561,0.0387,0.0881,0.0769,0.0667,0.1204,0.1044,0.0724,0.0395,0.1092,0.3257,0.4723,0.1558,0.3004,0.025,0.0773,0.0535,0.0804,0.1133,0.0795,0.0378,0.0645,0.1255,0.1306,0.0875,0.1083,0.0542,0.0461,0.0299,0.0929,0.0331,0.1084,0.0716,0.041,0.0746
sub-kLat008,task-sline,run-1,0,NA,0.1497,0.2956,0.6415,0.2586,0.1879,0.354,0.1502,0.0762,0.0646,0.1824,0.5833,0.1411,0.0459,0.0749,0.2404,0.3915,0.2182,0.1683,0.1986,0.13,0.1482,0.0828,0.0819,0.0582,0.0988,0.0547,0.0608,0.1287,0.2014,0.0959,0.078,0.1703,0.0998,0.1984,0.3666,0.0954,0.0725,0.0333,0.1043,0.3215,0.616,0.2793,0.2258,0.1527,0.233,0.1892,0.1186,0.0719,0.0791,0.0958,0.1009,0.1101,0.1532,0.2641,0.1324,0.2429,0.1607,0.202,0.0715
